variant,break_threshold,horizon,population,iterations,action_cost_weight,overbreak_penalty,target,method,runs,mean_final_iou,best_final_iou,mean_score,mean_force,mean_undercut,mean_overbreak,output_dir,report
checkpoint_threshold,checkpoint,5,256,4,0.02,0.5,circular_notch,cem_surrogate,2,0.9491,0.95,0.9392,0.5022,0.6478,0.0,results/rollouts/planner_sweep_20260519_085313/checkpoint_threshold,results/rollouts/planner_sweep_20260519_085313/checkpoint_threshold/report.html
checkpoint_threshold,checkpoint,5,256,4,0.02,0.5,rectangle_cut,cem_surrogate,2,0.9344,0.9376,0.9234,0.5041,0.75,0.0019,results/rollouts/planner_sweep_20260519_085313/checkpoint_threshold,results/rollouts/planner_sweep_20260519_085313/checkpoint_threshold/report.html
break_th_085,0.85,5,256,4,0.02,0.5,circular_notch,cem_surrogate,2,0.9375,0.9433,0.9293,0.4074,0.8068,0.0,results/rollouts/planner_sweep_20260519_085313/break_th_085,results/rollouts/planner_sweep_20260519_085313/break_th_085/report.html
break_th_085,0.85,5,256,4,0.02,0.5,rectangle_cut,cem_surrogate,2,0.9336,0.9343,0.9225,0.505,0.7604,0.0019,results/rollouts/planner_sweep_20260519_085313/break_th_085,results/rollouts/planner_sweep_20260519_085313/break_th_085/report.html
break_th_090,0.90,5,256,4,0.02,0.5,circular_notch,cem_surrogate,2,0.9526,0.9602,0.9411,0.5517,0.5909,0.0009,results/rollouts/planner_sweep_20260519_085313/break_th_090,results/rollouts/planner_sweep_20260519_085313/break_th_090/report.html
break_th_090,0.90,5,256,4,0.02,0.5,rectangle_cut,cem_surrogate,2,0.9378,0.9428,0.9276,0.4866,0.7188,0.0009,results/rollouts/planner_sweep_20260519_085313/break_th_090,results/rollouts/planner_sweep_20260519_085313/break_th_090/report.html
break_th_095,0.95,5,256,4,0.02,0.5,circular_notch,cem_surrogate,2,0.9491,0.95,0.9392,0.5022,0.6478,0.0,results/rollouts/planner_sweep_20260519_085313/break_th_095,results/rollouts/planner_sweep_20260519_085313/break_th_095/report.html
break_th_095,0.95,5,256,4,0.02,0.5,rectangle_cut,cem_surrogate,2,0.9344,0.9376,0.9234,0.5041,0.75,0.0019,results/rollouts/planner_sweep_20260519_085313/break_th_095,results/rollouts/planner_sweep_20260519_085313/break_th_095/report.html
break_th_090_budget,0.90,5,384,6,0.02,0.5,circular_notch,cem_surrogate,2,0.9415,0.9463,0.93,0.5047,0.7159,0.0028,results/rollouts/planner_sweep_20260519_085313/break_th_090_budget,results/rollouts/planner_sweep_20260519_085313/break_th_090_budget/report.html
break_th_090_budget,0.90,5,384,6,0.02,0.5,rectangle_cut,cem_surrogate,2,0.9395,0.9429,0.9284,0.5313,0.6979,0.0009,results/rollouts/planner_sweep_20260519_085313/break_th_090_budget,results/rollouts/planner_sweep_20260519_085313/break_th_090_budget/report.html
break_th_090_lighter_cost,0.90,5,256,4,0.015,0.5,circular_notch,cem_surrogate,2,0.9431,0.9497,0.9334,0.5283,0.6819,0.0037,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_cost,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_cost/report.html
break_th_090_lighter_cost,0.90,5,256,4,0.015,0.5,rectangle_cut,cem_surrogate,2,0.9404,0.9479,0.9328,0.5078,0.6979,0.0,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_cost,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_cost/report.html
break_th_090_lighter_overbreak,0.90,5,256,4,0.015,0.4,circular_notch,cem_surrogate,2,0.9499,0.9532,0.9405,0.5516,0.6022,0.0028,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_overbreak,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_overbreak/report.html
break_th_090_lighter_overbreak,0.90,5,256,4,0.015,0.4,rectangle_cut,cem_surrogate,2,0.9377,0.9425,0.9287,0.5215,0.6979,0.0029,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_overbreak,results/rollouts/planner_sweep_20260519_085313/break_th_090_lighter_overbreak/report.html
break_th_090_h6_budget,0.90,6,384,6,0.02,0.5,circular_notch,cem_surrogate,2,0.9358,0.9448,0.9274,0.403,0.8181,0.0009,results/rollouts/planner_sweep_20260519_085313/break_th_090_h6_budget,results/rollouts/planner_sweep_20260519_085313/break_th_090_h6_budget/report.html
break_th_090_h6_budget,0.90,6,384,6,0.02,0.5,rectangle_cut,cem_surrogate,2,0.9418,0.9441,0.9287,0.5354,0.625,0.0047,results/rollouts/planner_sweep_20260519_085313/break_th_090_h6_budget,results/rollouts/planner_sweep_20260519_085313/break_th_090_h6_budget/report.html
